n;прод.ж.;чиновн;браки;разводы;доходы_бедн;дох_богат;самоуб;импорт;авт;нац.богат;водка;браки_прош
1970;68,9;1060;10,1;3;7,8;36,8;58027;27;5,5;2372;25,3;
1975;68,1;1101;11,1;3,6;9,5;33,8;58027;21;15,3;2372;28;10,1
1980;67,6;1147;11,1;4,3;10,1;33,4;48195;109;30,2;2489;30;11,1
1985;69,2;1204;9,7;4;10;34;44562;56,4;44,5;3379;23,5;11,1
1990;69,2;1602;8,9;3,8;9,8;32,7;39150;81,8;58,6;4130;18;9,7
1995;64,6;1893;7,3;4,5;5,5;46,9;60953;44,1;93,3;1171;38,4;8,9
1998;67;2777;5,8;3,4;6,2;47,4;97276;45,4;122;689;29,6;7,3
